word_id,ur_meaning,en_meaning
132,اصلاح کرنے والے ہیں,(are) reformers
133,خبردار,Beware
134,بیشک وہ,indeed they
135,وہی ہیں,themselves
136,جو فساد کرنے والے ہیں,(are) the ones who spread corruption
137,لیکن,[and] but
138,نہیں,not
139,وہ شعور رکھتے ہیں,they realize (it)
140,اور جب,And when
141,کہا جاتا ہے,it is said
142,واسطے ان کے,to them
143,ایمان لے آؤ,Believe
144,جیسا کہ,as
145,ایمان لائے,believed
146,لوگ,the people
147,وہ کہتے ہیں,they say
148,کیاہم ایمان لائیں,Should we believe
149,جیسا کہ,as
150,ایمان لائے,believed
151,جو بیوقوف ہیں,the fools
152,خبردار,Beware
153,بیشک وہ,certainly they
154,وہی ہیں,themselves
155,جو بیوقوف ہیں,(are) the fools
156,لیکن,[and] but
157,نہیں,not
158,وہ علم رکھتے,they know
159,اور جب,And when
160,ملاقات کرتے ہیں,they meet
161,ان لوگوں سے,those who
162,جو ایمان لائے,believe[d]
163,وہ کہتے ہیں,they say
164,ایمان لائے ہم,We believe[d]
165,اورجب,But when
166,وہ اکیلے ہوتے ہیں,they are alone
167,طرف,with
168,اپنے شیطانوں کے,their evil ones
169,وہ کہتے ہیں,they say
170,بیشک ہم,Indeed we
171,تمہارے ساتھ ہیں,(are) with you
172,بیشک,only
173,ہم تو,we
174,مذاق کرنے والے ہیں,(are) mockers
175,اللہ,Allah
176,مذاق کرے گا / مذاق کرتا ہے,mocks
177,ساتھ ان کے,at them
178,اور وہ ڈھیل دے رہا ہے ان کو,and prolongs them
179,ان کی,in
180,سرکشی میں,their transgression
181,وہ بھٹک رہے ہیں/ اندھے بنے پھرتے ہیں,they wander blindly
182,یہی ہیں,Those
183,وہ لوگ,(are) the ones who
184,جنہوں نے خرید لی,bought
185,گمراہی,[the] astraying
186,بدلے ہدایت کے,for [the] guidance
187,تو نہ,So not
188,فائدہ مند ہوئی / فائدہ دیا,profited
189,تجارت ان کی نے,their commerce
190,اور نہ,and not
191,تھے وہ,were they
192,ہدایت پانے والے,guided-ones
193,مثال ان کی,Their example
194,جیسے مثال کی,(is) like (the) example
195,اس شخص کی,(of) the one who
196,جس نے جلائی,kindled
197,آگ,a fire
198,پھر جب,then when
199,اس نے روشن کردیا,it illuminated
200,اس کا,what
201,ماحول,(was) around him
202,لے گیا,took away
203,اللّٰهُ,Allah
204,نور ان کا,their light
205,اورچھوڑ دیا ان کو,and left them
206,میں,in
207,اندھیروں,darkness[es]
208,نہیں,(so) not
209,وہ دیکھ پاتے,(do) they see
210,بہرے ہیں,Deaf
211,گونگے ہیں,dumb
212,اندھے ہیں,blind
213,تو وہ,so they
214,نہیں,not
215,وہ پلیٹیں گے / وہ لوٹیں گے,[they] will not return
216,یا,Or
217,جیسے مثال ہے زور دار پیش کی,like a rainstorm
218,سے,from
219,آسمان,the sky
220,اس میں,in it (are)
221,اندھیرے ہیں,darkness[es]
222,کڑک,and thunder
223,بجلی ہے,and lightning
224,وہ ڈال لیتے ہیں,They put
225,انگلیاں اپنی,their fingers
226,اپنے,in
227,کانوں میں,their ears
228,سے,from
229,بجلی کی کڑک,the thunderclaps
230,ڈرتے ہوئے / ڈر کر / بچنے کے لئے,(in) fear (of)
231,موت سے,[the] death
232,اور اللہ تعالیٰ,And Allah
233,احاطہ کیے ہوئے ہے,(is) [the One Who] encompasses
234,کافروں کا,the disbelievers
235,قریب ہے,Almost
236,بجلی,the lightning
237,اچک لے / چھین لے,snatches away
238,نگاہیں ان کی,their sight
239,جب کبھی,Whenever
240,اس نے روشنی کی,it flashes
241,ان کے لئے,for them
242,وہ چل پڑے,they walk
243,اس میں,in it
244,اور جب,and when
245,اس نے اندھیرا کیا,it darkens
246,اوپر ان کے,on them
247,وہ کھڑے ہوگئے,they stand (still)
248,اوراگر,And if
249,چاہے,had willed
250,اللہ,Allah
251,ضرور لے جائے,He would certainly have taken away
252,سماعت ان کی,their hearing
253,اورنگاہیں ان کی,and their sight
254,بیشک,Indeed
255,اللہ,Allah
256,اوپر,(is) on
257,ہر,every
258,چیز کے,thing
259,قدرت والاہے,All-Powerful
260,اے,O
261,لوگو,mankind
262,عبادت کرو,worship
263,اپنے رب کی,your Lord
264,جس نے,the One Who
265,پیدا کیا تم کو,created you
266,اور ان لوگوں کو جو,and those
267,سے,from
268,تم سے پہلے تھے,before you
269,تاکہ تم,so that you may
270,تم بچ سکو,become righteous
271,وہ (رب),The One Who
272,جس نے بنایا,made
273,تمہارے لئے,for you
274,زمین کو,the earth
275,فرش,a resting place
276,اور آسمان کو,and the sky
277,چھت,a canopy
278,اور اتارا,and sent down
279,سے,from
280,آسمان,the sky
281,پانی,water
282,پھر نکالا,then brought forth
283,بسبب اس کے / ساتھ اس کے / اس کے ذریعے,therewith
284,سے,[of]
285,پھلوں,the fruits
286,رزق کو / بطور رزق کے,(as) provision
287,تمہارے لئے,for you
288,پس نہ,So (do) not
289,تم بناؤ,set up
290,اللہ کے لئے,to Allah
291,کوئی بھی شریک,rivals
292,حالانکہ تم,while you
293,تم جانتے ہو,[you] know
294,اور اگر,And if
295,ہو تم,you are
296,میں,in
297,کسی شک,doubt
298,اس سے جو,about what
299,اتارا ہم نے,We have revealed
300,اوپر,to
301,اپنے بندے کے,Our slave
302,پس لے آؤ,then produce
303,کوئی سورت,a chapter
304,اس,[of]
305,جیسی,like it
306,اوربلا لو,and call
307,اپنے گواہوں کو / موجود لوگوں کو / حاضرین کو,your witnesses
308,سے,from
309,علاوہ / سوائے,other than
310,اللہ کے,Allah
311,اگر,if
312,ہو تم,you are
313,سچے,truthful
314,پھر اگر,But if
315,نہ,not
316,تم کرسکو,you do
317,اور ہرگز نہیں,and never
318,تم کرسکو گے,will you do
319,پس بچو,then fear
320,اس آگ سے,the Fire
321,جو,whose
322,ایندھن ہیں اس کا,[its] fuel
323,لوگ/ انسان,(is) [the] men
324,اور پتھر,and [the] stones
325,تیار کی گئی ہے,prepared
326,کافروں کے لیے,for the disbelievers
327,اور خوش خبری دو,And give good news
328,ان لوگوں کو,(to) those who
329,جو ایمان لائے,believe
330,اور جنہوں نے عمل کئے,and do
331,وہ جو اچھے ہیں / نیک ہیں,[the] righteous deeds
332,بیشک,that
333,ان کے لئے,for them
334,باغات ہیں,(will be) Gardens
335,بہتی ہیں,flow
336,سے,[from]
337,اس کے نیچے,under them
338,نہریں,the rivers
339,جب کبھی,Every time
340,وہ رزق دیئے جائیں گے,they are provided
341,ان (باغات) سے,therefrom
342,کوئی,of
343,پھل,fruit
344,بطور رزق کے,(as) provision
345,وہ کہیں گے,they (will) say
346,یہ,This (is)
347,وہی ہے جو,the one which
348,ہم رزق دیئے گئے,we were provided
349,سے,from
350,پہلے,before
351,حالانکہ وہ دئیے جائیں گے,And they will be given
352,ساتھ اس کے,therefrom
353,ملتے جلتے,(things) in resemblance
354,اور ان کے لئے,And for them
355,اس میں,therein
356,بیویاں ہیں,spouses
357,پاکیزہ,purified
358,اور وہ,and they
359,اس میں,therein
360,ہمیشہ رہنے والے ہیں,(will) abide forever
361,بیشک,Indeed
362,اللہ,Allah
363,نہیں,(is) not
364,حیا فرمایا,ashamed
365,کہ,to
366,وہ بیان کرے,set forth
367,کوئی مثال,an example
368,خواہ جو,(like) even
369,کسی مچھر کی ہو,(of) a mosquito
370,یا اس کی جو,and (even) something
371,اس کے اوپر ہے,above it
372,تو رہے,Then as for
373,وہ لوگ,those who
374,جو ایمان لائے,believed
375,پس وہ علم رکھتے ہیں,[thus] they will know
376,بیشک وہ (مثال),that it
377,حق ہے,(is) the truth
378,طرف سے,from
379,ان کے رب کی,their Lord
380,اور رہے,And as for
381,وہ لوگ,those who
382,جنہوں نے کفر کیا,disbelieved
383,تو وہ کہتے ہیں,[thus] they will say
384,کیا,what
385,ارادہ کیا/ چاہا,(did) intend
386,اللہ نے,Allah
387,ساتھ اس,by this
388,مثال کے,example
389,وہ گمراہ کرتا ہے,He lets go astray
390,ساتھ اس کے,by it
391,کثیر (تعداد) کو,many
392,اورہدایت دیتا ہے,and He guides
393,اس کے ساتھ,by it
394,بہت کو,many
395,اورنہیں,And not
396,وہ گمراہ کرتا ہے,He lets go astray
397,ساتھ اس (مثال کے),by it
398,مگر,except
399,ان کو جو فاسق ہیں,the defiantly disobedient
400,وہ لوگ ہیں,Those who
401,جو توڑتے ہیں,break
402,عہد,(the) Covenant
403,اللہ کا,(of) Allah
404,سے,from
405,بعد,after
406,پکا کرنے کے اس کے / مضبوطی اس کی کے,its ratification
407,اور وہ کاٹتے ہیں,and [they] cut
408,اسے جو,what
409,حکم دیا,has ordered
410,اللہ نے,Allah
411,اس کے,it
412,یہ کہ,to
413,وہ جوڑا جائے / ملایا جائے,be joined
414,اورفساد کرتے ہیں,and [they] spread corruption
415,میں,in
416,زمین,the earth
417,یہی لوگ,Those
418,وہ,they
419,جو خسارہ پانے والے ہیں/ جو نقصان اٹھانے والے ہیں,(are) the losers
420,کس طرح,How
421,تم انکار کرتے ہو,(can) you disbelieve
422,اللہ کا,in Allah
423,حالانکہ تھے تم,While you were
424,مردہ,dead
425,پھر اس نے زندہ کیا تم کو,then He gave you life
426,پھر,then
427,وہ موت طاری کر دے گا تم پر,He will cause you to die
428,پھر,then
429,وہ زندہ کرے گا تم کو,He will give you life
430,پھر,then
431,طرف اس کے,to Him
432,تم لوٹائے جاؤ گے,you will be returned
433,وہی ہے,He
434,جس نے,(is) the One Who
435,پیدا کیا,created
436,واسطے تمہارے,for you
437,جو کچھ ہے,what
438,میں,(is) in
439,زمین,the earth
440,سارے کا سارا / سب کچھ,all
441,پھر,Moreover
442,وہ متوجہ ہوا / ارادہ کیا,He turned
443,طرف,to
444,آسمان کے,the heaven
445,پس برابر کردیا ان کو / درست بنایا ان کو / ہموار کیا ان کو,and fashioned them
446,سات,seven
447,آسمانوں کو,heavens
448,اور وہ,And He
449,ساتھ ہر,of every
450,چیز کے,thing
451,خوب علم والا ہے,(is) All-Knowing
452,اور جب,And when
453,کہا,said
454,تیرے رب نے,your Lord
455,فرشتوں سے,to the angels
456,بیشک میں,Indeed I (am)
457,بنانے والا ہوں,going to place
458,میں,in
459,زمین,the earth
460,اپنا جانشین / ایک خلیفہ,a vicegerent
461,انہوں نے کہا,they said
462,کیا تو بنائے گا,Will You place
463,اس میں,in it
464,جو,(one) who
465,فساد کرے گا,will spread corruption
466,اس میں,in it
467,اور بہائے گا,and will shed
468,خون,[the] blood[s]
469,حالانکہ ہم,while we
470,ہم تسبیح کرتے ہیں,[we] glorify (You)
471,ساتھ تیری تعریف کے,with Your praises
472,اور ہم پاکی بیان کرتے ہیں,and we sanctify
473,واسطے تیرے,[to] You
474,فرمایا,He said
475,بیشک میں,Indeed I
476,میں جانتا ہوں,[I] know
477,جو,what
478,نہیں,not
479,تم علم رکھتے,you know
480,اور سکھا دیئے اس نے,And He taught
481,آدم کو,Adam
482,نام,the names
483,سارے کے سارے / سب کے سب,all of them
484,پھر,Then
485,پیش کیا ان کو,He displayed them
486,اوپر,to
487,فرشتوں کے,the angels
488,پھر فرمایا,then He said
489,بتاؤ مجھ کو,Inform Me
490,نام,of (the) names
491,ان کے / ان سب کے,(of) these
492,اگر,if
493,ہو تم,you are
494,سچے,truthful
495,انہوں نے کہا,They said
496,پاک ہے تو,Glory be to You
497,نہیں,No
498,کوئی علم,knowledge
499,ہمارے لئے,(is) for us
500,مگر,except
501,جو,what
502,سکھایا تم نے ہم کو,You have taught us
503,بیشک آپ,Indeed You
504,آپ ہی,You
505,جو بہت علم والے / بہت جاننے والے,(are) the All-Knowing
506,جو بہت حکمت والے ہیں,the All-Wise
507,فرمایا,He said
508,اے,O Adam
509,بتاؤ ان کو,Inform them
510,نام ان کے,of their names
511,پھر جب,And when
512,اس نے بتادئیے ان کو,he had informed them
513,نام ان کے,of their names
514,فرمایا,He said
515,کیا نہیں,Did not
516,میں نے کہا تھا,I say
517,تمہارے لئے,to you
518,بیشک میں,Indeed I
519,میں جانتا ہوں,[I] know
520,غیب / بھید,(the) unseen
521,آسمانوں کے,(of) the heavens
522,اور زمین کے,and the earth
523,اور میں جانتا ہوں,and I know
524,جو کچھ,what
525,تم ظاہر کرتے ہو,you reveal
526,اور  جو کچھ,and what
527,ہو تم,you [were]
528,تم چھپاتے ہو,conceal
529,اور جب,And when
530,کہا ہم نے,We said
531,فرشتوں سے,to the angels
532,سجدہ کرو,Prostrate
533,آدم کے لئے / آدم کو,to Adam
534,تو انہوں نے سجدہ کیا,[so] they prostrated
535,مگر / سوائے,except
536,ابلیس کے,Iblis
537,اس نے انکار کیا,He refused
538,اور بڑا بننا چاہا,and was arrogant
539,اور ہوگیا,and became
540,میں سے,of
541,کافروں کے,the disbelievers
542,اور کہا ہم نے,And We said
543,اے آدم,O Adam
544,تم رہو,Dwell
545,تم,you
546,اوربیوی تمہاری,and your spouse
547,جنت میں,(in) Paradise
548,اور تم دونوں کھاؤ,and [you both] eat
549,اس میں سے,from it
550,خوف جی بھر کے / بافراغت,freely
551,جہاں سے,(from) wherever
552,تم دونوں چاہو,you [both] wish
553,اور نا,But do not
554,تم دونوں قریب جانا,[you two] approach
555,اس,this
556,درخت کے,[the] tree
557,ورنہ تم دونو ہو جاو گے,lest you [both] be
558,سے,of
559,ظالموں میں,the wrongdoers
560,پھر پھسلادیا ان دونوں کو,Then made [both of] them slip
561,شیطان نے,the Shaitaan
562,اس سے,from it
563,پھر نکلوادیا ان دونوں کو,and he got [both of] them out
564,اس میں سے جو,from what
565,تھے وہ دونوں,they [both] were
566,جس میں,in [it]
567,اور کہا ہم نے,And We said
568,اتر جاؤ,Go down (all of you)
569,بعض تمہارے,some of you
570,واسطے بعض کے,to others
571,دشمن ہیں,(as) enemy
572,اورتمہارے لئے,and for you
573,میں,in
574,زمین,the earth
575,ٹھکانہ ہے / قرار ہے,(is) a dwelling place
576,اورفائدہ اٹھانا ہے,and a provision
577,تک,for
578,ایک و قت کے,a period
579,پس سیکھ لئے / پھر حاصل کرلئے,Then received
580,آدم نے,Adam
581,سے,from
582,اپنے رب,his Lord
583,کچھ کلمے / چند الفاظ,words
584,پھر مہربان ہوا,So (his Lord) turned
585,اس پر,towards him
586,بیشک وہ,Indeed He
587,وہی ہے,He
588,جو توبہ قبول کرنے والا ہے,(is) the Oft-returning (to mercy)
589,جو بار بار رحم کرنے والا ہے,the Most Merciful
590,کہا ہم نے,We said
591,اتر جاؤ,Go down
592,اس میں سے,from it
593,سب کے سب / سب ہی,all (of you)
594,پھر اگر,and when
595,آجائے تمہارے پاس,comes to you
596,میری طرف سے,from Me
597,کوئی ہدایت,Guidance
598,تو جس نے,then whoever
599,پیروی کی,follows
600,میری ہدایت کی,My Guidance
601,تو نہیں ہوگا,[then] no
602,کوئی خوف / ڈر,fear
603,اوپر ان کے,(will be) on them
604,اور نہ,and not
605,وہ,they
606,غمگین ہوں گے,will grieve
607,اور وہ لوگ,And those
608,جنہوں نے کفر کیا,who disbelieve[d]
609,اورانہوں نے جھٹلایا,and deny
610,ہماری آیات کو / ہمارے احکام کو,Our Signs
611,یہی لوگ,those
612,ساتھی ہیں,(are the) companions
613,آگ کے,(of) the Fire
614,وہ,they
615,اس میں,in it
616,ہمیشہ رہنے والے ہیں,(will) abide forever
617,اے بیٹو !,O Children
618,اسرائیل کے,(of) Israel
619,یاد کرو,Remember
620,نعمتیں میری,My Favor
621,وہ جو,which
622,انعام کی تھیں میں نے,I bestowed
623,اوپر تمہارے,upon you
624,اور پورا کرو,and fulfill
625,میرے عہد کو,My Covenant
626,میں پورا کروں گا,I will fulfill
627,تمہارے عہد کو,your covenant
628,اورصرف مجھ سے ہی,and Me Alone
629,پس ڈرو مجھ سے,fear [Me]
630,اور ایمان لاؤ,And believe
631,ساتھ اس کے جو,in what
632,نازل کی میں نے / اتاری میں نے,I have sent down
633,جو تصدیق کرنے والی ہے,confirming
634,واسطے اس کے جو,that which
635,تمہارے پاس ہے,(is) with you
636,اور نہ,and (do) not
637,تم ہوجاؤ,be
638,پہلے,(the) first
639,انکار کرنے والے,disbeliever
640,ساتھ اس کے,of it
641,اور نہ,And (do) not
642,تم لو,exchange
643,بدلے میری آیات کے,My Signs (for)
644,قیمت,a price
645,تھوڑی,small
646,اور صرف مجھ سے ہی,and Me Alone
647,پس ڈرو مجھ سے,fear [Me]
648,اور نہ,And (do) not
649,تم ملاؤ / گڈ مڈ کرو,mix
650,حق کو,the Truth
651,ساتھ باطل کے,with [the] falsehood
652,اورنہ تم چھپاؤ / تم چھپاتے ہو,and conceal
653,حق کو,the Truth
654,حالانکہ تم,while you
655,تم جانتے ہو,[you] know
656,اور قائم کرو,And establish
657,نماز,the prayer
658,اوردو / ادا کرو,and give
659,زکوٰۃ,zakah
660,اوررکوع کرو,and bow down
661,ساتھ,with
662,رکوع کرنے والوں کے,those who bow down
663,کیاتم حکم دیتے ہو,Do you order
664,لوگوں کو,[the] people
665,نیکی کا,[the] righteousness
666,اورتم بھول جاتے ہو,and you forget
667,اپنے نفسوں کو,yourselves
668,حالانکہ تم,while you
669,تلاوت کرتے ہو,[you] recite
670,کتاب کی,the Book
671,پھر نہیں,Then will not
672,تم عقلوں سے کام لیتے ہو,you use reason
673,اور مدد مانگو,And seek help
674,ساتھ صبر کے,through patience
675,اورنماز کے,and the prayer
676,اوربیشک وہ (نماز),and indeed it
677,البتہ بھاری ہے / مشکل ہے / بڑی ہے,(is) surely difficult
678,سوائے / مگر,except
679,اوپر انکے,on
680,جو خشوع کرنے والے ہیں,the humble ones
681,وہ لوگ,Those who
682,جو یقین رکھتے ہیں,believe
683,بیشک وہ,that they
684,ملاقات کرنے والے ہیں,will meet
685,اپنے رب سے,their Lord
686,اور بیشک وہ,and that they
687,طرف اس کے,to Him
688,لوٹنے والے ہیں,will return
689,اے بنی,O Children
690,اسرائیل,(of) Israel
691,یاد کرو,Remember
692,میری نعمتیں,My Favor
693,وہ جو,which
694,انعام کی تھیں میں نے,I bestowed
695,اوپر تمہارے,upon you
696,اور بیشک میں نے,and that I
697,فضیلت دی تھی میں نے تم کو,[I] preferred you
698,اوپر,over
699,تمام دنیا والوں کے,the worlds
700,اور,And fear
701,اس دن سے,a day
702,نہ,(will) not
703,کام آئے گا / بدلہ بنے گا,avail
704,کوئی نفس,any soul
705,طرف سے,for
706,کسی نفس کی,(another) soul
707,کچھ بھی,anything
708,اور نہ,and not
709,قبول کی جائے گی,will be accepted
710,اس سے,from it
711,کوئی سفارش,any intercession
712,اور نہ,and not
713,لیا جائے گا,will be taken
714,اس سے,from it
715,کوئی بدلہ,a compensation
716,اور نہ,and not
717,وہ,they
718,وہ مدد دئیے جائیں گے,will be helped
719,اور جب,And when
720,نجات دی ہم نے تم کو,We saved you
721,سے,from
722,آل,(the) people
723,فرعون,(of) Firaun
724,وہ تکلیف دیتے تھے تھم کو,(who were) afflicting you (with)
725,برے,horrible
726,عذاب کی,torment
727,خوب ذبح کرتے تھے,slaughtering
728,بیٹوں کو تمہارے,your sons
729,اور زندہ چھوڑ دیتے تھے,and letting live
730,تمہاری عورتوں کو,your women
731,اورمیں,And in
732,اس کے,that
733,آزمائش تھی,(was) a trial
734,سے,from
735,تمہارے رب کی طرف سے,your Lord
736,بڑی,great
737,اور جب,And when
738,پھاڑا ہم نے,We parted
739,تمہارے لیے,for you
740,سمندر کو,the sea
741,پھر نجات دی ہم نے تم کو,then We saved you
742,اور غرق کردیا ہم نے,and We drowned
743,آل,(the) people
744,فرعون کو,(of) Firaun
745,اور تم,while you
746,تم دیکھ رہے تھے,(were) looking
747,اور جب,And when
748,ہم نے وعدہ لیا,We appointed
749,موسیٰ سے,(for) Musa
750,چالیس,forty
751,راتوں کا,nights
752,پھر,Then
753,بنا لیا تم نے,you took
754,بچھڑے کو,the calf
755,سے,from
756,اس کے بعد / (موسی) پیچھے,after him
757,اور تم,and you
758,ظالم تھے,(were) wrongdoers
759,پھر,Then
760,درگزر کیا ہم نے / معاف کردیا ہم نے,We forgave
761,تم سے,you
762,سے,from
763,بعد,after
764,اس کے شرک,that
765,تاکہ تم,so that you may
766,تم شکر ادا کرتے,(be) grateful
767,اور جب,And when
768,دی ہم نے,We gave
769,موسیٰ کو,Musa
770,کتاب,the Book
771,اور فرقان (فہم کتاب),and the Criterion
772,تاکہ تم,perhaps you
773,تم ہدایت پا جاؤ,(would be) guided
774,اور جب,And when
775,کہا,said
776,موسیٰ نے,Musa
777,اپنی قوم سے,to his people
778,اے میری قوم,O my people
779,بیشک تم نے,Indeed you
780,ظلم کیا تم نے,[you] have wronged
781,اپنے نفسوں پر / اپنی جانوں پر,yourselves
782,بوجہ بنانے کے تمہارے,by your taking
783,بچھڑے کو (معبود),the calf
784,پس توبہ کرو,So turn in repentance
785,طرف,to
786,اپنے پیدا کرنے والے کے,your Creator
787,تو قتل کرو,and kill
788,اپنے نفسوں کو,yourselves
789,یہ,That
790,بہتر ہے,(is) better
791,تمہارے لئے,for you
792,نزدیک,with
793,تمہارے پیدا کرنے والے کے,your Creator
794,پھر وہ مہربان ہوا,Then He turned
795,تم پر,towards you
796,بیشک,Indeed He
797,وہی ہے,He
798,جو بہت توبہ قبول کرنے والا ہے,(is) the-returning
799,جو بار بار رحم کرنے والا ہے,the Most Merciful
800,اور جب,And when
801,کہا تم نے,you said
802,اے موسیٰ,O Musa
803,ہرگز نہیں,Never
804,ہم ایمان لائیں گے / ہم اعتبار کریں گے,(will) we believe
805,واسطے تیرے,in you
806,یہاں تک,until
807,ہم دیکھ لیں,we see
808,اللہ کو,Allah
809,سامنے / ظاہر / روبرو,manifestly
810,پس پکڑ لیا تم کو,So seized you
811,کڑک نے,the thunderbolt
812,اس حال میں تم,while you
813,تم دیکھ رہے تھے,(were) looking
814,پھر,Then
815,اٹھایا ہم نے تم کو,We revived you
816,سے,from
817,بعد,after
818,تمہاری موت کے,your death
819,تاکہ تم,so that you may
820,تم شکر ادا کرو,(be) grateful
821,اور سایہ کیا ہم نے,And We shaded
822,اوپر تمہارے,[over] you
823,بادلوں کا,(with) [the] clouds
824,اور نازل کیا ہم نے,and We sent down
825,اوپر تمہارے,to you
826,من,[the] manna
827,اور سلویٰ,and [the] quails
828,کھاؤ,Eat
829,میں سے,from
830,پاکیزہ چیزوں,(the) good things
831,جو,that
832,رزق دیں ہم نے تم کو,We have provided you
833,اور نہیں,And not
834,انہوں نے ظلم کیا ہم پر,they wronged Us
835,اور لیکن,but
836,وہ تھے,they were
837,اپنے نفسوں پر,(to) themselves
838,وہ ظلم کرتے,doing wrong
839,اور جب,And when
840,کہا ہم نے,We said
841,داخل ہوجاؤ,Enter
842,اس,this
843,بستی میں,town
844,پھر کھاؤ,then eat
845,اس میں سے,from
846,جہاں سے,wherever
847,چاہو تم,you wish[ed]
848,خوب / بافراغت,abundantly
849,اور داخل ہوجاؤ,and enter
850,دروازے سے,the gate
851,سجدہ کرتے ہوئے,prostrating
852,اور کہتے جاؤ,And say
853,بخش دے / معافی معافی,Repentance
854,ہم بخش دیں گے,We will forgive
855,تمہارے لئے,for you
856,تمہاری خطاؤں کو,your sins
857,اور ضرور ہم زیادہ دیں گے,And We will increase
858,احسان کرنے والوں کو,the good-doers (in reward)
859,تو بدل ڈالا,But changed
860,ان لوگوں نے,those who
861,جنہوں نے ظلم کیا,wronged
862,بات کو,(the) word
863,سوائے,other (than)
864,اس کے جو,(that) which
865,کہی گئی تھی,was said
866,واسطے ان کے,to them
867,تو نازل کیا ہم نے,so We sent down
868,اوپر,upon
