quran_text,ur_meaning,en_meaning
الَّذِیْنَ,وہ لوگ,(are) the ones who
اشْتَرَوُا,جنہوں نے خرید لی,bought
الضَّلٰلَةَ,گمراہی,[the] astraying
بِالْهُدٰی۪,بدلے ہدایت کے,for [the] guidance
فَمَا,تو نہ,So not
رَبِحَتْ,فائدہ مند ہوئی / فائدہ دیا,profited
تِّجَارَتُهُمْ,تجارت ان کی نے,their commerce
وَمَا,اور نہ,and not
كَانُوْا,تھے وہ,were they
مُهْتَدِیْنَ,ہدایت پانے والے,guided-ones
مَثَلُهُمْ,مثال ان کی,Their example
كَمَثَلِ,جیسے مثال کی,(is) like (the) example
الَّذِی,اس شخص کی,(of) the one who
اسْتَوْقَدَ,جس نے جلائی,kindled
نَارًاۚ,آگ,a fire
فَلَمَّاۤ,پھر جب,then when
اَضَآءَتْ,اس نے روشن کردیا,it illuminated
مَا,اس کا,what
حَوْلَهٗ,ماحول,(was) around him
ذَهَبَ,لے گیا,took away
اللّٰهُ,اللّٰهُ,Allah
بِنُوْرِهِمْ,نور ان کا,their light
وَتَرَكَهُمْ,اورچھوڑ دیا ان کو,and left them
فِیْ,میں,in
ظُلُمٰتٍ,اندھیروں,darkness[es]
لَّا,نہیں,(so) not
یُبْصِرُوْنَ,وہ دیکھ پاتے,(do) they see
صُمٌّ,بہرے ہیں,Deaf
بُكْمٌ,گونگے ہیں,dumb
عُمْیٌ,اندھے ہیں,blind
فَهُمْ,تو وہ,so they
لَا,نہیں,not
یَرْجِعُوْنَ,وہ پلیٹیں گے / وہ لوٹیں گے,[they] will not return
اَوْ,یا,Or
كَصَیِّبٍ,جیسے مثال ہے زور دار پیش کی,like a rainstorm
مِّنَ,سے,from
السَّمَآءِ,آسمان,the sky
فِیْهِ,اس میں,in it (are)
ظُلُمٰتٌ,اندھیرے ہیں,darkness[es]
وَّرَعْدٌ,کڑک,and thunder
وَّبَرْقٌۚ,بجلی ہے,and lightning
یَجْعَلُوْنَ,وہ ڈال لیتے ہیں,They put
اَصَابِعَهُمْ,انگلیاں اپنی,their fingers
فِیْۤ,اپنے,in
اٰذَانِهِمْ,کانوں میں,their ears
مِّنَ,سے,from
الصَّوَاعِقِ,بجلی کی کڑک,the thunderclaps
حَذَرَ,ڈرتے ہوئے / ڈر کر / بچنے کے لئے,(in) fear (of)
الْمَوْتِؕ,موت سے,[the] death
وَاللّٰهُ,اور اللہ تعالیٰ,And Allah
مُحِیْطٌ,احاطہ کیے ہوئے ہے,(is) [the One Who] encompasses
بِالْكٰفِرِیْنَ,کافروں کا,the disbelievers
یَكَادُ,قریب ہے,Almost
الْبَرْقُ,بجلی,the lightning
یَخْطَفُ,اچک لے / چھین لے,snatches away
اَبْصَارَهُمْؕ,نگاہیں ان کی,their sight
كُلَّمَاۤ,جب کبھی,Whenever
اَضَآءَ,اس نے روشنی کی,it flashes
لَهُمْ,ان کے لئے,for them
مَّشَوْا,وہ چل پڑے,they walk
فِیْهِ,اس میں,in it
وَاِذَاۤ,اور جب,and when
اَظْلَمَ,اس نے اندھیرا کیا,it darkens
عَلَیْهِمْ,اوپر ان کے,on them
قَامُوْاؕ,وہ کھڑے ہوگئے,they stand (still)
وَلَوْ,اوراگر,And if
شَآءَ,چاہے,had willed
اللّٰهُ,اللہ,Allah
لَذَهَبَ,ضرور لے جائے,He would certainly have taken away
بِسَمْعِهِمْ,سماعت ان کی,their hearing
وَاَبْصَارِهِمْؕ,اورنگاہیں ان کی,and their sight
اِنَّ,بیشک,Indeed
اللّٰهَ,اللہ,Allah
عَلٰی,اوپر,(is) on
كُلِّ,ہر,every
شَیْءٍ,چیز کے,thing
قَدِیْرٌ,قدرت والاہے,All-Powerful
یٰۤاَیُّهَا,اے,O
النَّاسُ,لوگو,mankind
اعْبُدُوْا,عبادت کرو,worship
رَبَّكُمُ,اپنے رب کی,your Lord
الَّذِیْ,جس نے,the One Who
خَلَقَكُمْ,پیدا کیا تم کو,created you
وَالَّذِیْنَ,اور ان لوگوں کو جو,and those
مِنْ,سے,from
قَبْلِكُمْ,تم سے پہلے تھے,before you
لَعَلَّكُمْ,تاکہ تم,so that you may
تَتَّقُوْنَ,تم بچ سکو,become righteous
الَّذِیْ,وہ (رب),The One Who
جَعَلَ,جس نے بنایا,made
لَكُمُ,تمہارے لئے,for you
الْاَرْضَ,زمین کو,the earth
فِرَاشًا,فرش,a resting place
وَّالسَّمَآءَ,اور آسمان کو,and the sky
بِنَآءً۪,چھت,a canopy
وَّاَنْزَلَ,اور اتارا,and sent down
مِنَ,سے,from
السَّمَآءِ,آسمان,the sky
مَآءً,پانی,water
فَاَخْرَجَ,پھر نکالا,then brought forth
بِهٖ,بسبب اس کے / ساتھ اس کے / اس کے ذریعے,therewith
مِنَ,سے,[of]
الثَّمَرٰتِ,پھلوں,the fruits
رِزْقًا,رزق کو / بطور رزق کے,(as) provision
لَّكُمْۚ,تمہارے لئے,for you
فَلَا,پس نہ,So (do) not
تَجْعَلُوْا,تم بناؤ,set up
لِلّٰهِ,اللہ کے لئے,to Allah
اَنْدَادًا,کوئی بھی شریک,rivals
وَّاَنْتُمْ,حالانکہ تم,while you
تَعْلَمُوْنَ,تم جانتے ہو,[you] know
وَاِنْ,اور اگر,And if
كُنْتُمْ,ہو تم,you are
فِیْ,میں,in
رَیْبٍ,کسی شک,doubt
مِّمَّا,اس سے جو,about what
نَزَّلْنَا,اتارا ہم نے,We have revealed
عَلٰی,اوپر,to
عَبْدِنَا,اپنے بندے کے,Our slave
فَاْتُوْا,پس لے آؤ,then produce
بِسُوْرَةٍ,کوئی سورت,a chapter
مِّنْ,اس,[of]
مِّثْلِهٖ۪,جیسی,like it
وَادْعُوْا,اوربلا لو,and call
شُهَدَآءَكُمْ,اپنے گواہوں کو / موجود لوگوں کو / حاضرین کو,your witnesses
مِّنْ,سے,from
دُوْنِ,علاوہ / سوائے,other than
اللّٰهِ,اللہ کے,Allah
اِنْ,اگر,if
كُنْتُمْ,ہو تم,you are
صٰدِقِیْنَ,سچے,truthful
فَاِنْ,پھر اگر,But if
لَّمْ,نہ,not
تَفْعَلُوْا,تم کرسکو,you do
وَلَنْ,اور ہرگز نہیں,and never
تَفْعَلُوْا,تم کرسکو گے,will you do
فَاتَّقُوا,پس بچو,then fear
النَّارَ,اس آگ سے,the Fire
الَّتِیْ,جو,whose
وَقُوْدُهَا,ایندھن ہیں اس کا,[its] fuel
النَّاسُ,لوگ/ انسان,(is) [the] men
وَالْحِجَارَةُۖۚ,اور پتھر,and [the] stones
اُعِدَّتْ,تیار کی گئی ہے,prepared
لِلْكٰفِرِیْنَ,کافروں کے لیے,for the disbelievers
وَبَشِّرِ,اور خوش خبری دو,And give good news
الَّذِیْنَ,ان لوگوں کو,(to) those who
اٰمَنُوْا,جو ایمان لائے,believe
وَعَمِلُوا,اور جنہوں نے عمل کئے,and do
الصّٰلِحٰتِ,وہ جو اچھے ہیں / نیک ہیں,[the] righteous deeds
اَنَّ,بیشک,that
لَهُمْ,ان کے لئے,for them
جَنّٰتٍ,باغات ہیں,(will be) Gardens
تَجْرِیْ,بہتی ہیں,flow
مِنْ,سے,[from]
تَحْتِهَا,اس کے نیچے,under them
الْاَنْهٰرُؕ,نہریں,the rivers
كُلَّمَا,جب کبھی,Every time
رُزِقُوْا,وہ رزق دیئے جائیں گے,they are provided
مِنْهَا,ان (باغات) سے,therefrom
مِنْ,کوئی,of
ثَمَرَةٍ,پھل,fruit
رِّزْقًا,بطور رزق کے,(as) provision
قَالُوْا,وہ کہیں گے,they (will) say
هٰذَا,یہ,This (is)
الَّذِیْ,وہی ہے جو,the one which
رُزِقْنَا,ہم رزق دیئے گئے,we were provided
مِنْ,سے,from
قَبْلُ,پہلے,before
وَاُتُوْا,حالانکہ وہ دئیے جائیں گے,And they will be given
بِهٖ,ساتھ اس کے,therefrom
مُتَشَابِهًاؕ,ملتے جلتے,(things) in resemblance
وَلَهُمْ,اور ان کے لئے,And for them
فِیْهَاۤ,اس میں,therein
اَزْوَاجٌ,بیویاں ہیں,spouses
مُّطَهَّرَةٌ,پاکیزہ,purified
وَّهُمْ,اور وہ,and they
فِیْهَا,اس میں,therein
خٰلِدُوْنَ,ہمیشہ رہنے والے ہیں,(will) abide forever
اِنَّ,بیشک,Indeed
اللّٰهَ,اللہ,Allah
لَا,نہیں,(is) not
یَسْتَحْیٖۤ,حیا فرمایا,ashamed
اَنْ,کہ,to
یَّضْرِبَ,وہ بیان کرے,set forth
مَثَلًا,کوئی مثال,an example
مَّا,خواہ جو,(like) even
بَعُوْضَةً,کسی مچھر کی ہو,(of) a mosquito
فَمَا,یا اس کی جو,and (even) something
فَوْقَهَاؕ,اس کے اوپر ہے,above it
فَاَمَّا,تو رہے,Then as for
الَّذِیْنَ,وہ لوگ,those who
اٰمَنُوْا,جو ایمان لائے,believed
فَیَعْلَمُوْنَ,پس وہ علم رکھتے ہیں,[thus] they will know
اَنَّهُ,بیشک وہ (مثال),that it
الْحَقُّ,حق ہے,(is) the truth
مِنْ,طرف سے,from
رَّبِّهِمْۚ,ان کے رب کی,their Lord
وَاَمَّا,اور رہے,And as for
الَّذِیْنَ,وہ لوگ,those who
كَفَرُوْا,جنہوں نے کفر کیا,disbelieved
فَیَقُوْلُوْنَ,تو وہ کہتے ہیں,[thus] they will say
مَاذَاۤ,کیا,what
اَرَادَ,ارادہ کیا/ چاہا,(did) intend
اللّٰهُ,اللہ نے,Allah
بِهٰذَا,ساتھ اس,by this
مَثَلًاۘ,مثال کے,example
یُضِلُّ,وہ گمراہ کرتا ہے,He lets go astray
بِهٖ,ساتھ اس کے,by it
كَثِیْرًا,کثیر (تعداد) کو,many
وَّیَهْدِیْ,اورہدایت دیتا ہے,and He guides
بِهٖ,اس کے ساتھ,by it
كَثِیْرًاؕ,بہت کو,many
وَمَا,اورنہیں,And not
یُضِلُّ,وہ گمراہ کرتا ہے,He lets go astray
بِهٖۤ,ساتھ اس (مثال کے),by it
اِلَّا,مگر,except
الْفٰسِقِیْنَ,ان کو جو فاسق ہیں,the defiantly disobedient
الَّذِیْنَ,وہ لوگ ہیں,Those who
یَنْقُضُوْنَ,جو توڑتے ہیں,break
عَهْدَ,عہد,(the) Covenant
اللّٰهِ,اللہ کا,(of) Allah
مِنْ,سے,from
بَعْدِ,بعد,after
مِیْثَاقِهٖ۪,پکا کرنے کے اس کے / مضبوطی اس کی کے,its ratification
وَیَقْطَعُوْنَ,اور وہ کاٹتے ہیں,and [they] cut
مَاۤ,اسے جو,what
اَمَرَ,حکم دیا,has ordered
اللّٰهُ,اللہ نے,Allah
بِهٖۤ,اس کے,it
اَنْ,یہ کہ,to
یُّوْصَلَ,وہ جوڑا جائے / ملایا جائے,be joined
وَیُفْسِدُوْنَ,اورفساد کرتے ہیں,and [they] spread corruption
فِی,میں,in
الْاَرْضِؕ,زمین,the earth
اُولٰٓىِٕكَ,یہی لوگ,Those
هُمُ,وہ,they
الْخٰسِرُوْنَ,جو خسارہ پانے والے ہیں/ جو نقصان اٹھانے والے ہیں,(are) the losers
كَیْفَ,کس طرح,How
تَكْفُرُوْنَ,تم انکار کرتے ہو,(can) you disbelieve
بِاللّٰهِ,اللہ کا,in Allah
وَكُنْتُمْ,حالانکہ تھے تم,While you were
اَمْوَاتًا,مردہ,dead
فَاَحْیَاكُمْۚ,پھر اس نے زندہ کیا تم کو,then He gave you life
ثُمَّ,پھر,then
یُمِیْتُكُمْ,وہ موت طاری کر دے گا تم پر,He will cause you to die
ثُمَّ,پھر,then
یُحْیِیْكُمْ,وہ زندہ کرے گا تم کو,He will give you life
ثُمَّ,پھر,then
اِلَیْهِ,طرف اس کے,to Him
تُرْجَعُوْنَ,تم لوٹائے جاؤ گے,you will be returned
هُوَ,وہی ہے,He
الَّذِیْ,جس نے,(is) the One Who
خَلَقَ,پیدا کیا,created
لَكُمْ,واسطے تمہارے,for you
مَّا,جو کچھ ہے,what
فِی,میں,(is) in
الْاَرْضِ,زمین,the earth
جَمِیْعًاۗ,سارے کا سارا / سب کچھ,all
ثُمَّ,پھر,Moreover
اسْتَوٰۤی,وہ متوجہ ہوا / ارادہ کیا,He turned
اِلَی,طرف,to
السَّمَآءِ,آسمان کے,the heaven
فَسَوّٰىهُنَّ,پس برابر کردیا ان کو / درست بنایا ان کو / ہموار کیا ان کو,and fashioned them
سَبْعَ,سات,seven
سَمٰوٰتٍؕ,آسمانوں کو,heavens
وَهُوَ,اور وہ,And He
بِكُلِّ,ساتھ ہر,of every
شَیْءٍ,چیز کے,thing
عَلِیْمٌ,خوب علم والا ہے,(is) All-Knowing
وَاِذْ,اور جب,And when
قَالَ,کہا,said
رَبُّكَ,تیرے رب نے,your Lord
لِلْمَلٰٓىِٕكَةِ,فرشتوں سے,to the angels
اِنِّیْ,بیشک میں,Indeed I (am)
جَاعِلٌ,بنانے والا ہوں,going to place
فِی,میں,in
الْاَرْضِ,زمین,the earth
خَلِیْفَةًؕ,اپنا جانشین / ایک خلیفہ,a vicegerent
قَالُوْۤا,انہوں نے کہا,they said
اَتَجْعَلُ,کیا تو بنائے گا,Will You place
فِیْهَا,اس میں,in it
مَنْ,جو,(one) who
یُّفْسِدُ,فساد کرے گا,will spread corruption
فِیْهَا,اس میں,in it
وَیَسْفِكُ,اور بہائے گا,and will shed
الدِّمَآءَۚ,خون,[the] blood[s]
وَنَحْنُ,حالانکہ ہم,while we
نُسَبِّحُ,ہم تسبیح کرتے ہیں,[we] glorify (You)
بِحَمْدِكَ,ساتھ تیری تعریف کے,with Your praises
وَنُقَدِّسُ,اور ہم پاکی بیان کرتے ہیں,and we sanctify
لَكَؕ,واسطے تیرے,[to] You
قَالَ,فرمایا,He said
اِنِّیْۤ,بیشک میں,Indeed I
اَعْلَمُ,میں جانتا ہوں,[I] know
مَا,جو,what
لَا,نہیں,not
تَعْلَمُوْنَ,تم علم رکھتے,you know
وَعَلَّمَ,اور سکھا دیئے اس نے,And He taught
اٰدَمَ,آدم کو,Adam
الْاَسْمَآءَ,نام,the names
كُلَّهَا,سارے کے سارے / سب کے سب,all of them
ثُمَّ,پھر,Then
عَرَضَهُمْ,پیش کیا ان کو,He displayed them
عَلَی,اوپر,to
الْمَلٰٓىِٕكَةِ,فرشتوں کے,the angels
فَقَالَ,پھر فرمایا,then He said
اَنْۢبِـُٔوْنِیْ,بتاؤ مجھ کو,Inform Me
بِاَسْمَآءِ,نام,of (the) names
هٰۤؤُلَآءِ,ان کے / ان سب کے,(of) these
اِنْ,اگر,if
كُنْتُمْ,ہو تم,you are
صٰدِقِیْنَ,سچے,truthful
قَالُوْا,انہوں نے کہا,They said
سُبْحٰنَكَ,پاک ہے تو,Glory be to You
لَا,نہیں,No
عِلْمَ,کوئی علم,knowledge
لَنَاۤ,ہمارے لئے,(is) for us
اِلَّا,مگر,except
مَا,جو,what
عَلَّمْتَنَاؕ,سکھایا تم نے ہم کو,You have taught us
اِنَّكَ,بیشک آپ,Indeed You
اَنْتَ,آپ ہی,You
الْعَلِیْمُ,جو بہت علم والے / بہت جاننے والے,(are) the All-Knowing
الْحَكِیْمُ,جو بہت حکمت والے ہیں,the All-Wise
قَالَ,فرمایا,He said
یٰۤاٰدَمُ,اے,O Adam
اَنْۢبِئْهُمْ,بتاؤ ان کو,Inform them
بِاَسْمَآىِٕهِمْۚ,نام ان کے,of their names
فَلَمَّاۤ,پھر جب,And when
اَنْۢبَاَهُمْ,اس نے بتادئیے ان کو,he had informed them
بِاَسْمَآىِٕهِمْ,نام ان کے,of their names
قَالَ,فرمایا,He said
اَلَمْ,کیا نہیں,Did not
اَقُلْ,میں نے کہا تھا,I say
لَّكُمْ,تمہارے لئے,to you
اِنِّیْۤ,بیشک میں,Indeed I
اَعْلَمُ,میں جانتا ہوں,[I] know
غَیْبَ,غیب / بھید,(the) unseen
السَّمٰوٰتِ,آسمانوں کے,(of) the heavens
وَالْاَرْضِ,اور زمین کے,and the earth
وَاَعْلَمُ,اور میں جانتا ہوں,and I know
مَا,جو کچھ,what
تُبْدُوْنَ,تم ظاہر کرتے ہو,you reveal
وَمَا,اور  جو کچھ,and what
كُنْتُمْ,ہو تم,you [were]
تَكْتُمُوْنَ,تم چھپاتے ہو,conceal
وَاِذْ,اور جب,And when
قُلْنَا,کہا ہم نے,We said
لِلْمَلٰٓىِٕكَةِ,فرشتوں سے,to the angels
اسْجُدُوْا,سجدہ کرو,Prostrate
لِاٰدَمَ,آدم کے لئے / آدم کو,to Adam
فَسَجَدُوْۤا,تو انہوں نے سجدہ کیا,[so] they prostrated
اِلَّاۤ,مگر / سوائے,except
اِبْلِیْسَؕ,ابلیس کے,Iblis
اَبٰی,اس نے انکار کیا,He refused
وَاسْتَكْبَرَ,اور بڑا بننا چاہا,and was arrogant
وَكَانَ,اور ہوگیا,and became
مِنَ,میں سے,of
الْكٰفِرِیْنَ,کافروں کے,the disbelievers
وَقُلْنَا,اور کہا ہم نے,And We said
یٰۤاٰدَمُ,اے آدم,O Adam
اسْكُنْ,تم رہو,Dwell
اَنْتَ,تم,you
وَزَوْجُكَ,اوربیوی تمہاری,and your spouse
الْجَنَّةَ,جنت میں,(in) Paradise
وَكُلَا,اور تم دونوں کھاؤ,and [you both] eat
مِنْهَا,اس میں سے,from it
رَغَدًا,خوف جی بھر کے / بافراغت,freely
حَیْثُ,جہاں سے,(from) wherever
شِئْتُمَا۪,تم دونوں چاہو,you [both] wish
وَلَا,اور نا,But do not
تَقْرَبَا,تم دونوں قریب جانا,[you two] approach
هٰذِهِ,اس,this
الشَّجَرَةَ,درخت کے,[the] tree
فَتَكُوْنَا,ورنہ تم دونو ہو جاو گے,lest you [both] be
مِنَ,سے,of
الظّٰلِمِیْنَ,ظالموں میں,the wrongdoers
فَاَزَلَّهُمَا,پھر پھسلادیا ان دونوں کو,Then made [both of] them slip
الشَّیْطٰنُ,شیطان نے,the Shaitaan
عَنْهَا,اس سے,from it
فَاَخْرَجَهُمَا,پھر نکلوادیا ان دونوں کو,and he got [both of] them out
مِمَّا,اس میں سے جو,from what
كَانَا,تھے وہ دونوں,they [both] were
فِیْهِ۪,جس میں,in [it]
وَقُلْنَا,اور کہا ہم نے,And We said
اهْبِطُوْا,اتر جاؤ,Go down (all of you)
بَعْضُكُمْ,بعض تمہارے,some of you
لِبَعْضٍ,واسطے بعض کے,to others
عَدُوٌّۚ,دشمن ہیں,(as) enemy
وَلَكُمْ,اورتمہارے لئے,and for you
فِی,میں,in
الْاَرْضِ,زمین,the earth
مُسْتَقَرٌّ,ٹھکانہ ہے / قرار ہے,(is) a dwelling place
وَّمَتَاعٌ,اورفائدہ اٹھانا ہے,and a provision
اِلٰی,تک,for
حِیْنٍ,ایک و قت کے,a period
